step,loss,loss_std,loss_ema,grad_norm,lr,step_per_sec,elapsed_sec
13900,0.004670,0.001540,0.004589,0.100052,0.00020000,4.8689,2854.88
14000,0.004125,0.001258,0.004303,0.087272,0.00020000,4.8698,2874.84
14100,0.004152,0.001195,0.004213,0.091385,0.00020000,4.8708,2894.79
14200,0.004408,0.001331,0.004362,0.090262,0.00020000,4.8719,2914.70
14300,0.004046,0.000987,0.004132,0.096404,0.00020000,4.8728,2934.63
14400,0.003977,0.001089,0.004017,0.089230,0.00020000,4.8738,2954.58
14500,0.004110,0.001140,0.004062,0.091003,0.00020000,4.8747,2974.55
14600,0.004099,0.001127,0.004092,0.093635,0.00020000,4.8756,2994.51
14700,0.004129,0.001248,0.004082,0.096089,0.00020000,4.8765,3014.46
14800,0.004016,0.001199,0.004038,0.097035,0.00020000,4.8744,3036.25
14900,0.003979,0.001040,0.004044,0.081558,0.00020000,4.8729,3057.74
15000,0.003881,0.001081,0.003981,0.079310,0.00020000,4.8719,3078.89
15100,0.004184,0.001289,0.004169,0.099521,0.00020000,4.8707,3100.18
15200,0.003955,0.001074,0.003998,0.081553,0.00020000,4.8695,3121.46
15300,0.003974,0.000930,0.003989,0.099022,0.00020000,4.8685,3142.63
15400,0.003980,0.001302,0.003996,0.090661,0.00020000,4.8676,3163.80
15500,0.003959,0.001157,0.003987,0.077845,0.00020000,4.8665,3185.07
15600,0.004143,0.001231,0.004133,0.102028,0.00020000,4.8655,3206.24
15700,0.003722,0.000999,0.003860,0.068797,0.00020000,4.8644,3227.55
15800,0.004021,0.001167,0.003961,0.095584,0.00020000,4.8635,3248.72
15900,0.003986,0.000997,0.003942,0.090874,0.00020000,4.8625,3269.93
16000,0.003898,0.001147,0.003968,0.092884,0.00020000,4.8614,3291.21
16100,0.003976,0.000973,0.003982,0.079904,0.00020000,4.8606,3312.38
16200,0.003827,0.001038,0.003887,0.088685,0.00020000,4.8597,3333.54
16300,0.003833,0.001028,0.003850,0.079939,0.00020000,4.8587,3354.80
16400,0.003872,0.001059,0.003870,0.102720,0.00020000,4.8579,3375.95
16500,0.003917,0.001013,0.003878,0.081566,0.00020000,4.8571,3397.08
16600,0.003849,0.000996,0.003855,0.092505,0.00020000,4.8562,3418.34
16700,0.003894,0.001187,0.003874,0.106719,0.00020000,4.8553,3439.51
16800,0.004001,0.001163,0.003958,0.088915,0.00020000,4.8545,3460.74
16900,0.003872,0.001009,0.003964,0.081214,0.00020000,4.8536,3481.96
17000,0.003838,0.001098,0.003902,0.074755,0.00020000,4.8527,3503.18
17100,0.004047,0.001130,0.003992,0.087993,0.00020000,4.8519,3524.40
17200,0.004088,0.001402,0.004056,0.096251,0.00020000,4.8510,3545.68
17300,0.004100,0.001173,0.004062,0.092665,0.00020000,4.8503,3566.80
17400,0.003906,0.001150,0.003960,0.107381,0.00020000,4.8494,3588.08
17500,0.003738,0.001035,0.003784,0.072759,0.00020000,4.8487,3609.25
17600,0.003691,0.000871,0.003730,0.073120,0.00020000,4.8479,3630.43
17700,0.003857,0.000945,0.003820,0.088182,0.00020000,4.8471,3651.69
17800,0.003440,0.000952,0.003584,0.077916,0.00020000,4.8464,3672.80
17900,0.003809,0.001013,0.003766,0.076901,0.00020000,4.8458,3693.95
18000,0.003801,0.001026,0.003775,0.074796,0.00020000,4.8449,3715.24
18100,0.003624,0.000982,0.003659,0.075870,0.00020000,4.8441,3736.52
18200,0.003858,0.001072,0.003790,0.091390,0.00020000,4.8434,3757.69
18300,0.003742,0.001129,0.003687,0.080154,0.00020000,4.8426,3778.97
18400,0.003676,0.000954,0.003674,0.082899,0.00020000,4.8419,3800.14
18500,0.003934,0.001051,0.003839,0.090404,0.00020000,4.8413,3821.32
18600,0.003532,0.000961,0.003629,0.077548,0.00020000,4.8405,3842.60
18700,0.003974,0.001252,0.003841,0.091903,0.00020000,4.8398,3863.81
18800,0.003475,0.000981,0.003622,0.067932,0.00020000,4.8392,3884.93
18900,0.003729,0.000938,0.003706,0.080977,0.00020000,4.8385,3906.18
19000,0.003737,0.001174,0.003748,0.093496,0.00020000,4.8379,3927.35
19100,0.003781,0.001077,0.003737,0.086641,0.00020000,4.8371,3948.62
19200,0.003690,0.001046,0.003681,0.088389,0.00020000,4.8366,3969.77
19300,0.003644,0.000950,0.003666,0.071076,0.00020000,4.8360,3990.91
19400,0.003747,0.000997,0.003720,0.086205,0.00020000,4.8353,4012.19
19500,0.003747,0.001054,0.003767,0.083589,0.00020000,4.8347,4033.36
19600,0.003560,0.001025,0.003648,0.071608,0.00020000,4.8341,4054.50
19700,0.003715,0.001039,0.003686,0.083214,0.00020000,4.8334,4075.82
19800,0.003636,0.001358,0.003713,0.078645,0.00020000,4.8329,4096.95
19900,0.003437,0.000827,0.003536,0.071136,0.00020000,4.8324,4118.08
20000,0.003535,0.000962,0.003510,0.079161,0.00020000,4.8317,4139.33
20100,0.003779,0.001017,0.003683,0.096244,0.00020000,4.8311,4160.56
20200,0.003529,0.000965,0.003623,0.084860,0.00020000,4.8305,4181.79
20300,0.003520,0.001228,0.003488,0.062720,0.00020000,4.8297,4203.13
20400,0.003667,0.001089,0.003569,0.084967,0.00020000,4.8292,4224.31
20500,0.003552,0.001140,0.003589,0.074250,0.00020000,4.8287,4245.49
20600,0.003588,0.000926,0.003594,0.082195,0.00020000,4.8280,4266.75
20700,0.003505,0.000838,0.003509,0.072017,0.00020000,4.8275,4287.90
20800,0.003413,0.000940,0.003439,0.069901,0.00020000,4.8269,4309.18
20900,0.003544,0.000995,0.003493,0.070379,0.00020000,4.8264,4330.38
21000,0.003823,0.001103,0.003713,0.079450,0.00020000,4.8259,4351.53
21100,0.003521,0.000865,0.003595,0.066241,0.00020000,4.8253,4372.83
21200,0.003465,0.000840,0.003527,0.078686,0.00020000,4.8248,4393.98
21300,0.003401,0.000873,0.003445,0.071421,0.00020000,4.8243,4415.13
21400,0.003372,0.001035,0.003410,0.076424,0.00020000,4.8237,4436.44
21500,0.003311,0.000832,0.003344,0.078142,0.00020000,4.8232,4457.62
21600,0.003518,0.000850,0.003431,0.070647,0.00020000,4.8227,4478.82
21700,0.003567,0.001125,0.003557,0.073708,0.00020000,4.8221,4500.13
21800,0.003519,0.000933,0.003515,0.084378,0.00020000,4.8216,4521.28
21900,0.003575,0.000978,0.003536,0.090550,0.00020000,4.8212,4542.40
22000,0.003438,0.000934,0.003460,0.080085,0.00020000,4.8207,4563.68
22100,0.003368,0.000860,0.003439,0.064598,0.00020000,4.8203,4584.81
22200,0.003677,0.001138,0.003575,0.075123,0.00020000,4.8198,4605.99
22300,0.003341,0.000937,0.003450,0.079713,0.00020000,4.8193,4627.20
22400,0.003606,0.001202,0.003540,0.073268,0.00020000,4.8189,4648.40
22500,0.003511,0.000944,0.003546,0.065687,0.00020000,4.8183,4669.70
22600,0.003285,0.000958,0.003374,0.076680,0.00020000,4.8178,4690.90
22700,0.003283,0.000866,0.003324,0.077895,0.00020000,4.8174,4712.06
22800,0.003614,0.000989,0.003478,0.085387,0.00020000,4.8169,4733.37
22900,0.003421,0.000932,0.003467,0.074543,0.00020000,4.8165,4754.52
23000,0.003506,0.001095,0.003474,0.072453,0.00020000,4.8160,4775.70
23100,0.003512,0.001033,0.003547,0.077963,0.00020000,4.8155,4796.97
23200,0.003491,0.000918,0.003494,0.080076,0.00020000,4.8151,4818.16
23300,0.003376,0.000903,0.003388,0.069581,0.00020000,4.8147,4839.30
23400,0.003072,0.000778,0.003177,0.068668,0.00020000,4.8143,4860.56
23500,0.003276,0.000828,0.003237,0.067946,0.00020000,4.8139,4881.72
23600,0.003419,0.001019,0.003321,0.067036,0.00020000,4.8135,4902.87
23700,0.003288,0.000905,0.003332,0.085250,0.00020000,4.8130,4924.15
